MCC,MNC,LAC,CI,Timestamp,Latitude,Longitude,HorizontalAccuracy,Altitude,VerticalAccuracy,Speed,Course,Confidence,Timestamp (GMT/UTC),Timestamp (EDT)
310,410,7985,158504968,363198766.1,38.87981969,-77.1114161,1414,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,193465815,363198766.1,38.87906855,-77.1114161,2036,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,160445443,363198766.1,38.87885397,-77.1114161,1926,0,-1,-1,-1,60,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158474606,363198766.1,38.87981969,-77.11791574,1414,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,194183756,363198766.1,38.87695556,-77.11578178,2669,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,194191613,363198766.1,38.88211727,-77.11373531,3647,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,160386111,363198766.1,38.88072103,-77.11770433,2167,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,160464926,363198766.1,38.87952417,-77.11112159,1414,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,160294781,363198766.1,38.87831741,-77.1114161,1414,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,159922035,363198766.1,38.8822233,-77.11500936,2341,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,193753154,363198766.1,38.87934529,-77.11094331,2151,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158494506,363198766.1,38.87764561,-77.11742347,9958,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,160396206,363198766.1,38.88218921,-77.11312937,2412,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,159986883,363198766.1,38.88135391,-77.11753231,2455,0,-1,-1,-1,60,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,193491851,363198766.1,38.88138723,-77.11766529,2002,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158520181,363198766.1,38.88116687,-77.11128091,1414,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158388408,363198766.1,38.87638598,-77.11441051,2245,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,160445460,363198766.1,38.87981969,-77.11064612,1968,0,-1,-1,-1,60,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,28458,363198766.1,38.88046354,-77.11077445,1414,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,194212633,363198766.1,38.8825103,-77.11329317,3987,0,-1,-1,-1,60,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158430151,363198766.1,38.88259309,-77.1155622,2304,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158429268,363198766.1,38.88252377,-77.11590772,2073,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,160028049,363198766.1,38.87643963,-77.11590772,1414,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,10019,18576,363198766.1,38.88157105,-77.1114161,1414,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158429911,363198766.1,38.87621426,-77.11411106,1527,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158479487,363198766.1,38.87941044,-77.11038672,1414,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,10019,1285,363198766.1,38.88054078,-77.11864256,2357,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,160633844,363198766.1,38.87741607,-77.11800378,2302,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,194186700,363198766.1,38.87709468,-77.11768341,3085,0,-1,-1,-1,60,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158479484,363198766.1,38.87948584,-77.11026144,1414,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,194187747,363198766.1,38.88282418,-77.11373436,4453,0,-1,-1,-1,60,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158484621,363198766.1,38.88181197,-77.1112619,1414,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,160650093,363198766.1,38.87716865,-77.11802136,1741,0,-1,-1,-1,60,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,10019,13436,363198766.1,38.87859016,-77.11021834,1414,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,160584032,363198766.1,38.88069194,-77.11895036,2553,0,-1,-1,-1,60,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,160687217,363198766.1,38.87981969,-77.10999774,1984,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,160043961,363198766.1,38.87681519,-77.1114161,1625,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158519501,363198766.1,38.87891834,-77.10995042,8050,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,159936168,363198766.1,38.87773966,-77.11878693,2446,0,-1,-1,-1,60,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158439177,363198766.1,38.88312464,-77.11351221,1682,0,-1,-1,-1,60,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
